185.199.111.164  105.25ms
185.199.111.112  105.31ms
185.199.109.32  105.51ms
185.199.110.103  105.74ms
185.199.109.118  106.01ms
185.199.110.90  106.10ms
185.199.111.132  106.21ms
185.199.109.67  106.32ms
185.199.110.254  106.32ms
185.199.111.236  106.37ms
185.199.109.249  106.59ms
185.199.110.2  106.76ms
185.199.111.10  107.16ms
185.199.109.254  107.31ms
185.199.111.31  107.31ms
185.199.110.112  107.51ms
185.199.109.207  107.67ms
185.199.108.12  108.32ms
185.199.108.252  108.56ms
185.199.109.92  108.63ms
185.199.110.232  108.70ms
185.199.108.79  108.87ms
185.199.109.250  109.55ms
185.199.109.115  109.63ms
185.199.111.57  109.89ms
185.199.108.247  110.33ms
185.199.110.54  110.60ms
185.199.109.229  111.05ms
185.199.108.4  111.21ms
185.199.111.69  111.34ms
185.199.111.118  111.60ms
185.199.111.30  111.62ms
185.199.110.15  111.79ms
185.199.109.14  111.81ms
185.199.109.219  112.76ms
185.199.109.9  112.86ms
185.199.111.24  112.88ms
185.199.108.63  112.93ms
185.199.108.139  113.07ms
185.199.109.252  113.17ms
185.199.110.42  113.17ms
185.199.108.111  113.51ms
185.199.110.175  113.55ms
185.199.110.29  113.67ms
185.199.110.234  113.81ms
185.199.110.159  114.39ms
185.199.108.217  114.43ms
185.199.108.46  114.53ms
185.199.111.22  114.81ms
185.199.110.157  115.49ms
185.199.109.63  115.50ms
185.199.109.36  115.63ms
185.199.111.139  115.79ms
185.199.111.240  115.94ms
185.199.108.216  115.94ms
185.199.109.204  116.50ms
185.199.109.53  116.87ms
185.199.108.124  116.87ms
185.199.109.173  116.89ms
185.199.109.205  117.21ms
185.199.108.148  117.62ms
185.199.111.170  117.90ms
185.199.108.35  117.90ms
185.199.109.65  118.07ms
185.199.108.162  118.23ms
185.199.109.175  118.34ms
185.199.111.55  118.90ms
185.199.110.0  119.52ms
185.199.111.117  119.79ms
185.199.111.47  120.20ms
185.199.109.129  120.26ms
185.199.111.17  120.62ms
185.199.109.247  120.71ms
185.221.87.142  90.11ms
185.221.87.124  90.34ms
185.221.87.247  90.61ms
185.221.87.157  91.34ms
185.221.87.31  100.84ms
185.221.87.77  101.61ms
185.221.87.231  102.34ms
185.221.87.105  103.34ms
185.221.87.217  103.60ms
185.221.87.90  104.85ms
185.221.87.207  114.11ms
185.221.87.156  115.50ms
185.221.87.7  126.50ms
198.54.216.114  113.55ms
198.54.216.190  113.55ms
198.54.216.63  116.55ms
198.54.216.122  116.56ms
198.54.216.193  116.56ms
198.54.216.70  116.56ms
198.54.216.12  116.72ms
198.54.216.38  116.72ms
198.54.216.5  116.72ms
198.54.216.158  117.55ms
198.54.216.2  117.56ms
198.54.216.229  117.72ms
199.36.158.161  116.62ms
199.36.158.127  119.28ms
199.36.158.104  123.09ms
199.36.158.108  123.75ms
199.36.158.211  124.02ms
199.36.158.34  125.25ms
199.36.158.175  125.75ms
199.36.158.142  126.24ms
199.36.158.240  126.76ms
199.36.158.48  127.28ms
