104.23.120.189  142.22ms
104.23.99.250  176.62ms
104.23.143.19  167.62ms
104.23.117.103  148.20ms
104.23.140.150  191.82ms
104.23.131.175  184.82ms
104.23.123.76  181.69ms
104.23.111.162  138.19ms
104.23.105.54  184.81ms
104.23.122.180  101.46ms
104.23.111.237  139.46ms
104.23.123.71  130.38ms
104.23.135.173  178.64ms
104.23.97.91  178.64ms
104.23.115.27  173.35ms
104.23.142.83  149.17ms
104.23.116.105  140.44ms
104.23.100.176  159.14ms
104.23.136.54  180.08ms
104.23.98.240  164.26ms
104.23.99.174  162.19ms
104.23.138.18  213.04ms
104.23.96.105  135.43ms
104.23.105.61  140.68ms
104.23.141.106  177.36ms
104.23.113.211  134.76ms
104.23.103.16  141.76ms
104.23.132.162  200.82ms
104.23.107.231  180.01ms
104.23.115.122  115.29ms
104.23.139.173  191.81ms
104.23.140.61  188.47ms
104.23.110.121  177.01ms
104.23.117.94  168.96ms
104.23.139.58  149.44ms
104.23.101.228  138.43ms
104.23.107.40  141.69ms
104.23.101.156  136.05ms
104.23.101.109  119.79ms
104.23.97.141  160.32ms
104.23.116.226  143.68ms
104.23.133.212  189.75ms
104.23.107.8  142.10ms
104.23.101.97  177.66ms
104.23.139.59  178.36ms
104.23.122.226  136.96ms
104.23.109.122  134.04ms
104.23.141.133  178.53ms
104.23.125.227  135.23ms
104.23.114.200  138.64ms
104.23.97.192  140.49ms
104.23.116.113  177.18ms
104.23.125.206  140.93ms
104.23.127.105  181.44ms
104.23.143.252  189.86ms
104.23.143.129  206.07ms
104.23.120.132  175.25ms
104.23.121.162  182.84ms
104.23.98.119  177.70ms
104.23.141.26  184.19ms
104.23.112.6  137.35ms
104.23.123.28  170.00ms
104.23.136.182  189.96ms
104.23.141.235  180.35ms
104.23.96.173  139.78ms
104.23.124.3  174.30ms
104.23.127.118  179.87ms
104.23.127.90  173.57ms
104.23.104.220  174.85ms
104.23.120.158  180.56ms
104.23.129.5  177.77ms
104.23.117.72  171.65ms
104.23.99.140  133.15ms
104.23.143.26  181.62ms
104.23.136.198  195.61ms
104.23.131.68  179.82ms
104.23.138.250  192.62ms
104.23.105.63  180.21ms
104.23.98.143  135.25ms
104.23.143.12  178.90ms
104.23.109.150  136.27ms
104.23.112.178  140.32ms
104.23.133.9  169.39ms
104.23.141.121  183.41ms
104.23.100.216  145.17ms
104.23.98.222  140.38ms
104.23.136.41  182.27ms
104.23.140.23  184.04ms
104.23.103.98  180.71ms
104.23.115.46  138.37ms
104.23.103.221  133.93ms
104.23.107.128  187.68ms
104.23.101.64  175.77ms
104.23.110.246  183.87ms
104.23.117.66  139.31ms
104.23.103.178  141.25ms
104.23.112.233  171.95ms
104.23.133.123  200.38ms
104.23.117.174  136.43ms
104.23.109.82  147.43ms
104.23.122.200  182.13ms
104.23.109.59  178.51ms
104.23.137.85  182.27ms
104.23.141.96  179.07ms
104.23.102.59  141.35ms
104.23.135.54  191.45ms
104.23.105.17  137.77ms
104.23.117.160  173.21ms
104.23.136.113  133.57ms
104.23.119.184  135.57ms
104.23.122.52  141.07ms
104.23.96.71  173.22ms
104.23.130.124  176.84ms
104.23.104.42  181.09ms
104.23.119.48  139.85ms
104.23.109.123  134.90ms
104.23.110.247  177.25ms
104.23.116.231  139.45ms
104.23.124.22  134.85ms
104.23.131.69  173.24ms
104.23.111.34  179.94ms
104.23.105.121  178.26ms
104.23.123.75  139.77ms
104.23.118.129  179.79ms
104.23.130.196  177.80ms
104.23.103.102  178.30ms
104.23.97.243  138.17ms
104.23.139.85  175.99ms
104.23.107.2  176.69ms
104.23.120.181  135.52ms
104.23.122.141  135.05ms
104.23.129.28  194.57ms
104.23.100.153  175.32ms
104.23.141.165  165.42ms
104.23.125.87  133.05ms
104.23.116.136  132.08ms
104.23.104.137  175.33ms
104.23.100.105  140.27ms
104.23.135.158  175.38ms
104.23.100.87  136.55ms
104.23.125.21  139.20ms
104.23.129.17  189.76ms
104.23.98.203  176.39ms
104.23.98.100  180.39ms
104.23.110.53  142.25ms
104.23.114.215  144.89ms
104.23.120.134  133.49ms
104.23.134.216  212.34ms
104.23.116.254  185.73ms
104.23.128.190  179.09ms
104.23.100.184  177.59ms
104.23.132.161  197.69ms
104.23.97.85  139.12ms
104.23.97.142  146.13ms
104.23.127.43  175.61ms
104.23.136.167  175.86ms
104.23.140.97  184.72ms
104.23.102.108  137.41ms
104.23.123.156  146.95ms
104.23.133.129  190.63ms
104.23.117.195  174.60ms
104.23.119.41  176.44ms
104.23.113.163  133.63ms
104.23.104.31  139.62ms
104.23.116.141  134.59ms
104.23.99.63  173.62ms
104.23.103.172  133.29ms
104.23.138.182  171.08ms
104.23.110.191  133.42ms
104.23.143.160  187.11ms
104.23.130.79  174.58ms
104.23.112.7  137.96ms
104.23.143.162  179.19ms
104.23.133.249  187.18ms
104.23.117.220  178.45ms
104.23.120.173  180.16ms
104.23.133.31  186.09ms
104.23.112.204  179.29ms
104.23.119.47  139.46ms
104.23.118.113  139.46ms
104.23.99.172  143.46ms
104.23.132.118  179.87ms
104.23.131.48  172.53ms
104.23.138.128  176.85ms
104.23.109.241  133.37ms
